"Signal","Type","DataType","Deprecated","Complex","Unit","Min","Max","Desc","Enum","Id"
"Vehicle","branch","","","false","","","","High-level vehicle data.","","ccc825f94139544dbb5f4bfd033bece6"
"Vehicle.VersionVSS","branch","","","false","","","","Supported Version of VSS","","9a687e56f1305eedb20f6a021ea58f48"
"Vehicle.VersionVSS.Major","attribute","uint32","","false","","","","Supported Version of VSS - Major version","","5edf1a338c975cbb84d4ce3cfe1aa4b4"
"Vehicle.VersionVSS.Minor","attribute","uint32","","false","","","","Supported Version of VSS - Minor version","","6e70a598dbc7534c96c58c18e9888cfd"
"Vehicle.VersionVSS.Patch","attribute","uint32","","false","","","","Supported Version of VSS - Patch version","","69858f224af459338b9bfbff436dda45"
"Vehicle.VersionVSS.Label","attribute","string","","false","","","","Label to further describe the version","","7c92cd50d24b5662922b27cb9a327e53"
"Vehicle.VehicleIdentification","branch","","","false","","","","Attributes that identify a vehicle","","c33861c3e9125208b05f23fe922bf08e"
"Vehicle.VehicleIdentification.VIN","attribute","string","","false","","","","17-character Vehicle Identification Number (VIN) as defined by ISO 3779","","6f0b6fa8c34f589baa92e565bc9df5bd"
"Vehicle.VehicleIdentification.WMI","attribute","string","","false","","","","3-character World Manufacturer Identification (WMI) as defined by ISO 3780","","e7c86defbcd554a79f90ba85de58e133"
"Vehicle.VehicleIdentification.Brand","attribute","string","","false","","","","Vehicle brand or manufacturer","","19fd645ff5385767bcdbf5dd4313483f"
"Vehicle.VehicleIdentification.Model","attribute","string","","false","","","","Vehicle model","","dd3d3b72e6a85b3695ba25f829255403"
"Vehicle.VehicleIdentification.Year","attribute","uint16","","false","","","","Model year of the vehicle","","9a76b0aca8e45f6fb33dbaf5b976b8b5"
"Vehicle.VehicleIdentification.ACRISSCode","attribute","string","","false","","","","The ACRISS Car Classification Code is a code used by many car rental companies.","","de98b9de86f359b4bd703b2e3d48f25a"
"Vehicle.VehicleIdentification.bodyType","attribute","string","","false","","","","Indicates the design and body style of the vehicle (e.g. station wagon, hatchback, etc.).","","3f6910e6773c532e986240e3d45f623b"
"Vehicle.VehicleIdentification.dateVehicleFirstRegistered","attribute","string","","false","","","","The date of the first registration of the vehicle with the respective public authorities.","","a48af4a5ef28520090255ca1ea2610f1"
"Vehicle.VehicleIdentification.meetsEmissionStandard","attribute","string","","false","","","","Indicates that the vehicle meets the respective emission standard.","","4324b78dfb865164ba91345564d88f39"
"Vehicle.VehicleIdentification.productionDate","attribute","string","","false","","","","The date of production of the item, e.g. vehicle.","","fc755d9de42d5286bfd6b35e4dca6bcb"
"Vehicle.VehicleIdentification.purchaseDate","attribute","string","","false","","","","The date the item e.g. vehicle was purchased by the current owner.","","07ac6595c60a57318b627a05775d696a"
"Vehicle.VehicleIdentification.vehicleModelDate","attribute","string","","false","","","","The release date of a vehicle model (often used to differentiate versions of the same make and model).","","8292d5c6e0b15a92b97d301b31a6f27b"
"Vehicle.VehicleIdentification.vehicleConfiguration","attribute","string","","false","","","","A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.","","d5efd9741e5f582f8a8da0d93811347f"
"Vehicle.VehicleIdentification.vehicleSeatingCapacity","attribute","uint16","","false","","","","The number of passengers that can be seated in the vehicle, both in terms of the physical space available, and in terms of limitations set by law.","","0d00e8ecfccf52d9aed6abbe5938df5d"
"Vehicle.VehicleIdentification.vehicleSpecialUsage","attribute","string","","false","","","","Indicates whether the vehicle has been used for special purposes, like commercial rental, driving school.","","5d4264def1fd5328a45108a62a4770b1"
"Vehicle.VehicleIdentification.vehicleinteriorColor","attribute","string","","false","","","","The color or color combination of the interior of the vehicle.","","aea3643341d650959293617972a9405e"
"Vehicle.VehicleIdentification.vehicleinteriorType","attribute","string","","false","","","","The type or material of the interior of the vehicle (e.g. synthetic fabric, leather, wood, etc.).","","a2466d9fa9b05409ba53ed46660b7147"
"Vehicle.VehicleIdentification.knownVehicleDamages","attribute","string","","false","","","","A textual description of known damages, both repaired and unrepaired.","","60f32d73afff58d0ac80c1c09b98dfb9"
"Vehicle.IgnitionOn","sensor","boolean","","false","","","","Indicates whether the vehicle ignition is on or off.","","6de19e6839af5f62acab3fbbd8077a98"
"Vehicle.IgnitionOnTime","sensor","uint32","","false","s","","","Accumulated ignition on time in seconds.","","ffae3b559998574ba58ee66dd0ac5d39"
"Vehicle.IgnitionOffTime","sensor","uint32","","false","s","","","Accumulated ignition off time in seconds.","","c0c4467bb00d5c0683c5bb81bcfdcb3e"
"Vehicle.DriveTime","sensor","uint32","","false","s","","","Accumulated drive time in seconds.","","f707495fbe155b7fa109dbb69c021850"
"Vehicle.IdleTime","sensor","uint32","","false","s","","","Accumulated idle time in seconds.","","97be8abc404f5c15a78e7edc6296ab04"
"Vehicle.Speed","sensor","float","","false","km/h","","","Vehicle speed","","efe50798638d55fab18ab7d43cc490e9"
"Vehicle.TravelledDistance","sensor","float","","false","km","","","Odometer reading, total distance travelled during the lifetime of the vehicle.","","90be9d7b0ac15b75a83027ea3b73b65b"
"Vehicle.TripMeterReading","sensor","float","","false","km","","","Current trip meter reading","","81f51ebfe29c591190171d7b96e1c948"
"Vehicle.AmbientAirTemperature","sensor","float","","false","celsius","","","Ambient air temperature outside the vehicle.","","2ffcbc2e6ea75dd991e3ae80b29a1d85"
"Vehicle.IsMoving","sensor","boolean","","false","","","","Indicates whether the vehicle is stationary or moving","","db69549cc7375e919c2a2883b41cd19c"
"Vehicle.AverageSpeed","sensor","float","","false","km/h","","","Average speed for the current trip","","43a489636a665c3abb99b63174eb552b"
"Vehicle.Acceleration","branch","","","false","","","","Spatial acceleration","","6c490e6a798c5abc8f0178ed6deae0a8"
"Vehicle.Acceleration.Longitudinal","sensor","float","","false","m/s^2","","","Vehicle acceleration in X (longitudinal acceleration).","","3d511fe7232b5841be311b37f322de5a"
"Vehicle.Acceleration.Lateral","sensor","float","","false","m/s^2","","","Vehicle acceleration in Y (lateral acceleration).","","7522c5d6b7665b16a099643b2700e93c"
"Vehicle.Acceleration.Vertical","sensor","float","","false","m/s^2","","","Vehicle acceleration in Z (vertical acceleration).","","a4a8a7c4ac5b52deb0b3ee4ed8787c59"
"Vehicle.AngularVelocity","branch","","","false","","","","Spatial rotation","","1eef530a43de56aab665d2766483cde2"
"Vehicle.AngularVelocity.Roll","sensor","int16","","false","degrees/s","","","Vehicle rotation rate along X (longitudinal).","","221e6b93881e5771bcbd03e0849e0075"
"Vehicle.AngularVelocity.Pitch","sensor","int16","","false","degrees/s","","","Vehicle rotation rate along Y (lateral).","","42236f4a01f45313a97fdd9b6848ce4f"
"Vehicle.AngularVelocity.Yaw","sensor","int16","","false","degrees/s","","","Vehicle rotation rate along Z (vertical).","","4114c41552565c1f9035670cabe2a611"
"Vehicle.RoofLoad","attribute","int16","","false","kg","","","The permitted total weight of cargo and installations (e.g. a roof rack) on top of the vehicle.","","97dc98269a19591d9efa455a8d943c16"
"Vehicle.accelerationTime","attribute","int16","V2.1 removed as ambiguous definition (start/stop-speed not defined)","false","s","","","The time needed to accelerate the vehicle from a given start velocity to a given target velocity.","","a0dfbb5fa9c052018addeb48d64d4c6a"
"Vehicle.cargoVolume","attribute","float","","false","l","0","","The available volume for cargo or luggage. For automobiles, this is usually the trunk volume.","","1b7c5f7c8ac952168cd2e89b3e9cd841"
"Vehicle.emissionsCO2","attribute","int16","","false","g/km","","","The CO2 emissions.","","5dc70045865b5bba9260945b28f737ff"
"Vehicle.CurrentOverallWeight","sensor","uint16","","false","kg","","","Current overall Vehicle weight. Including passengers, cargo and other load inside the car.","","75599d7628bb5f35839055269d3ad205"
"Vehicle.CurbWeight","attribute","uint16","","false","kg","","","Vehicle curb weight, including all liquids and full tank of fuel, but no cargo or passengers.","","69ac6ca079de59d19737f75e4c5c4342"
"Vehicle.GrossWeight","attribute","uint16","","false","kg","","","Curb weight of vehicle, including all liquids and full tank of fuel and full load of cargo and passengers.","","9671cb551dd8570fbe5d7cd797265e6a"
"Vehicle.MaxTowWeight","attribute","uint16","","false","kg","","","Maximum weight of trailer.","","a1b8fd65897654aa8a418bccf443f1f3"
"Vehicle.MaxTowBallWeight","attribute","uint16","","false","kg","","","Maximum vertical weight on the tow ball of a trailer.","","fec550f2064750e8b65b54fbf1368d68"
"Vehicle.Length","attribute","uint16","","false","mm","","","Overall vehicle length.","","885f1be6842a513582e52a42edb3176f"
"Vehicle.Height","attribute","uint16","","false","mm","","","Overall vehicle height.","","9784d39f68b8541f90c355178ded7d7c"
"Vehicle.Width","attribute","uint16","","false","mm","","","Overall vehicle width.","","b4aabe144e3259adb1459a2e25fec9bd"
"Vehicle.Trailer","branch","","","false","","","","Trailer signals","","66206ee5c25a5817bef214c0c8ae8013"
"Vehicle.Trailer.Connected","sensor","boolean","","false","","","","Signal indicating if trailer is connected or not.","","4da109044a185685a29190dd71838df5"
"Vehicle.CurrentLocation","branch","","","false","","","","The current latitude and longitude of the vehicle.","","24777bd485f15fb69550ae0520c40ad5"
