"Signal","Type","DataType","Deprecated","Unit","Min","Max","Desc","Comment","Allowed","Id"
"Vehicle","branch","","","","","","High-level vehicle data.","","","ccc825f94139544dbb5f4bfd033bece6"
"Vehicle.VersionVSS","branch","","","","","","Supported Version of VSS.","","","9a687e56f1305eedb20f6a021ea58f48"
"Vehicle.VersionVSS.Major","attribute","uint32","","","","","Supported Version of VSS - Major version.","","","5edf1a338c975cbb84d4ce3cfe1aa4b4"
"Vehicle.VersionVSS.Minor","attribute","uint32","","","","","Supported Version of VSS - Minor version.","","","6e70a598dbc7534c96c58c18e9888cfd"
"Vehicle.VersionVSS.Patch","attribute","uint32","","","","","Supported Version of VSS - Patch version.","","","69858f224af459338b9bfbff436dda45"
"Vehicle.VersionVSS.Label","attribute","string","","","","","Label to further describe the version.","","","7c92cd50d24b5662922b27cb9a327e53"
"Vehicle.VehicleIdentification","branch","","","","","","Attributes that identify a vehicle.","","","c33861c3e9125208b05f23fe922bf08e"
"Vehicle.VehicleIdentification.VIN","attribute","string","","","","","17-character Vehicle Identification Number (VIN) as defined by ISO 3779.","","","6f0b6fa8c34f589baa92e565bc9df5bd"
"Vehicle.VehicleIdentification.WMI","attribute","string","","","","","3-character World Manufacturer Identification (WMI) as defined by ISO 3780.","","","e7c86defbcd554a79f90ba85de58e133"
"Vehicle.VehicleIdentification.Brand","attribute","string","","","","","Vehicle brand or manufacturer.","","","19fd645ff5385767bcdbf5dd4313483f"
"Vehicle.VehicleIdentification.Model","attribute","string","","","","","Vehicle model.","","","dd3d3b72e6a85b3695ba25f829255403"
"Vehicle.VehicleIdentification.Year","attribute","uint16","","","","","Model year of the vehicle.","","","9a76b0aca8e45f6fb33dbaf5b976b8b5"
"Vehicle.VehicleIdentification.AcrissCode","attribute","string","","","","","The ACRISS Car Classification Code is a code used by many car rental companies.","","","115a821e8e0b57f08e4b9e61e85d7156"
"Vehicle.VehicleIdentification.BodyType","attribute","string","","","","","Indicates the design and body style of the vehicle (e.g. station wagon, hatchback, etc.).","","","e6d5c71ecec95d68b0b59bb7e93af759"
"Vehicle.VehicleIdentification.DateVehicleFirstRegistered","attribute","string","","","","","The date in ISO 8601 format of the first registration of the vehicle with the respective public authorities.","","","046f47acf62e50bd863d6568d73743d7"
"Vehicle.VehicleIdentification.MeetsEmissionStandard","attribute","string","","","","","Indicates that the vehicle meets the respective emission standard.","","","d75dedbfadca54d8b6c7261c37ad5d83"
"Vehicle.VehicleIdentification.ProductionDate","attribute","string","","","","","The date in ISO 8601 format of production of the item, e.g. vehicle.","","","5683877c4bac504d915b268c9476c190"
"Vehicle.VehicleIdentification.PurchaseDate","attribute","string","","","","","The date in ISO 8601 format of the item e.g. vehicle was purchased by the current owner.","","","31302f8b57e85c4197afda3e3201fce8"
"Vehicle.VehicleIdentification.VehicleModelDate","attribute","string","","","","","The release date in ISO 8601 format of a vehicle model (often used to differentiate versions of the same make and model).","","","c71b63f83dea536bac58e62bbe537f11"
"Vehicle.VehicleIdentification.VehicleConfiguration","attribute","string","","","","","A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.","","","2526c7ba4c8458c78000a9e5f2fe89d5"
"Vehicle.VehicleIdentification.VehicleSeatingCapacity","attribute","uint16","","","","","The number of passengers that can be seated in the vehicle, both in terms of the physical space available, and in terms of limitations set by law.","","","7ae5db0e0482555686b9be71dd8a0c38"
"Vehicle.VehicleIdentification.VehicleSpecialUsage","attribute","string","","","","","Indicates whether the vehicle has been used for special purposes, like commercial rental, driving school.","","","7e6e8a48f54a5549a8f6af8f1dc5eb8d"
"Vehicle.VehicleIdentification.VehicleInteriorColor","attribute","string","","","","","The color or color combination of the interior of the vehicle.","","","67a8b069b8bf573993d51959c24f04e2"
"Vehicle.VehicleIdentification.VehicleInteriorType","attribute","string","","","","","The type or material of the interior of the vehicle (e.g. synthetic fabric, leather, wood, etc.).","","","4c4eed302b2e51daa9b6f5f398987a77"
"Vehicle.VehicleIdentification.KnownVehicleDamages","attribute","string","","","","","A textual description of known damages, both repaired and unrepaired.","","","e87f352cddb15e94b340506b17207586"
"Vehicle.LowVoltageSystemState","sensor","string","","","","","State of the supply voltage of the control units (usually 12V).","","['UNDEFINED', 'LOCK', 'OFF', 'ACC', 'ON', 'START']","d7391ceb132e5519b02d4c13d5513d99"
"Vehicle.Speed","sensor","float","","km/h","","","Vehicle speed.","","","efe50798638d55fab18ab7d43cc490e9"
"Vehicle.TravelledDistance","sensor","float","","km","","","Odometer reading, total distance travelled during the lifetime of the vehicle.","","","90be9d7b0ac15b75a83027ea3b73b65b"
"Vehicle.TripMeterReading","sensor","float","","km","","","Current trip meter reading.","","","81f51ebfe29c591190171d7b96e1c948"
"Vehicle.IsBrokenDown","sensor","boolean","","","","","Vehicle breakdown or any similar event causing vehicle to stop on the road, that might pose a risk to other road users. True = Vehicle broken down on the road, due to e.g. engine problems, flat tire, out of gas, brake problems. False = Vehicle not broken down.","Actual criteria and method used to decide if a vehicle is broken down is implementation specific.","","469ebd2a76b45e5b97b799262a085330"
"Vehicle.IsMoving","sensor","boolean","","","","","Indicates whether the vehicle is stationary or moving.","","","db69549cc7375e919c2a2883b41cd19c"
"Vehicle.AverageSpeed","sensor","float","","km/h","","","Average speed for the current trip.","","","43a489636a665c3abb99b63174eb552b"
"Vehicle.Acceleration","branch","","","","","","Spatial acceleration. Axis definitions according to ISO 8855.","","","6c490e6a798c5abc8f0178ed6deae0a8"
"Vehicle.Acceleration.Longitudinal","sensor","float","","m/s^2","","","Vehicle acceleration in X (longitudinal acceleration).","","","3d511fe7232b5841be311b37f322de5a"
"Vehicle.Acceleration.Lateral","sensor","float","","m/s^2","","","Vehicle acceleration in Y (lateral acceleration).","","","7522c5d6b7665b16a099643b2700e93c"
"Vehicle.Acceleration.Vertical","sensor","float","","m/s^2","","","Vehicle acceleration in Z (vertical acceleration).","","","a4a8a7c4ac5b52deb0b3ee4ed8787c59"
"Vehicle.AngularVelocity","branch","","","","","","Spatial rotation. Axis definitions according to ISO 8855.","","","1eef530a43de56aab665d2766483cde2"
"Vehicle.AngularVelocity.Roll","sensor","float","","degrees/s","","","Vehicle rotation rate along X (longitudinal).","","","221e6b93881e5771bcbd03e0849e0075"
